model_label,slice,speakers,files,substitutions,insertions,deletions,reference_words,multiref_corpus_wer,macro_utterance_wer,reference_1_corpus_wer,reference_2_corpus_wer,reference_3_corpus_wer,mean_single_reference_corpus_wer,mean_real_time_factor
artpark_medium_vaani_hindi,original,500,500,1298,121,262,11512,0.14602154273801252,0.13096978546828442,0.21682903698594708,0.2155440414507772,0.21785252263906857,0.2167418670252643,0.28651700472354313
artpark_medium_vaani_hindi,bandlimit_8k,500,500,1309,113,282,11483,0.14839327701820082,0.13290206348209677,0.21993275282351926,0.21683937823834196,0.22164726175075464,0.21947313093753862,0.28507019704301306
artpark_medium_vaani_hindi,bandlimit_8k_g711_alaw,500,500,1318,115,290,11490,0.14995648389904265,0.13424425400666257,0.22200189671523407,0.21865284974093263,0.22302716688227683,0.22122730444614783,0.2844462354204599
artpark_medium_vaani_hindi,bandlimit_8k_g711_mulaw,500,500,1325,119,271,11493,0.14922126511789785,0.13363791510375894,0.22053625312526942,0.21701208981001727,0.22259594652867615,0.22004809648798762,0.28369396724987644
artpark_medium_vaani_hindi,bandlimit_8k_gsm_fr,500,500,1396,119,275,11470,0.15605928509154315,0.14186107109643228,0.22786447107509267,0.2256476683937824,0.23035791289348856,0.22795668412078787,0.2823786079018404
artpark_medium_vaani_hindi,pooled_telephone,500,2000,5348,466,1118,45936,0.15090560780215953,0.13566132592223765,0.22258384343477886,0.21953799654576855,0.22440707201379906,0.2221763039981155,0.2838972519037975
adalat_whisper_small_hi_high_lr,original,500,500,1589,148,261,11485,0.1739660426643448,0.16129832619299675,0.2399344771100957,0.24110535405872194,0.24070720137990514,0.24058234418290758,0.15645851366708327
adalat_whisper_small_hi_high_lr,bandlimit_8k,500,500,1797,132,282,11467,0.19281416237900062,0.1811954498269212,0.2574359858608501,0.2594991364421416,0.2603708495040966,0.2591019906023628,0.1551930678185417
adalat_whisper_small_hi_high_lr,bandlimit_8k_g711_alaw,500,500,1782,139,290,11476,0.19266294876263507,0.17762545354281747,0.2571773428743857,0.25967184801381693,0.2592496765847348,0.25869962249097916,0.15512555347968873
adalat_whisper_small_hi_high_lr,bandlimit_8k_g711_mulaw,500,500,1814,142,279,11476,0.1947542697804113,0.17987743265076594,0.2596775584102078,0.2622625215889465,0.26080206985769727,0.26091404995228384,0.1550703783778531
adalat_whisper_small_hi_high_lr,bandlimit_8k_gsm_fr,500,500,2105,187,321,11470,0.22781168265039234,0.2139711851182945,0.29269764634882317,0.29317789291882557,0.29271237602414835,0.292862638430599,0.15560006594634399
adalat_whisper_small_hi_high_lr,pooled_telephone,500,2000,7498,600,1172,45889,0.2020091961036414,0.1881673802846998,0.2667471333735667,0.2686528497409326,0.26828374299266927,0.2678945753690562,0.15524726640560688
